stable_nodes_name;occurence
ACKR3_CXCL12_complex;1
ADAMTS4;1
AGT;1
AGT_F2R_complex;1
AKT1_TH1___cytoplasm;1
AKT2;1
AKT2_phosphorylated;1
AMAP1;1
angiogenesis_signal_phenotype;1
AP_1;1
AP_1_phosphorylated;1
apoptosis_M2_macrophage_phenotype;1
AREG_EGFR_complex;1
AREG_Fibroblast___Extracellular_Space;1
AREG_M1_macrophage___Secreted_components;1
ARHGEF12;1
ARHGEF2_Fibroblast___Cytoplasm;1
ARHGEF2_TH1___cytoplasm;1
ARRB2_Fibroblast___Cytoplasm;1
ARRB2_M1_macrophage___Cytoplasm;1
ARRB2_M2_macrophage__cytoplasm;1
ASC_M1_macrophage___Cytoplasm;1
ASC_M2_macrophage__cytoplasm;1
ASK1_M1_macrophage___Cytoplasm;1
ASK1_M2_macrophage__cytoplasm;1
BAX_M1_macrophage__Mitochondria_membrane;1
BAX_M2_macrophage_mitochondrion_membrane;1
BCL2_Fibroblast___Mitochondrion;1
BCL2_M1_macrophage__Mitochondria_membrane;1
BCL2_M2_macrophage_mitochondrion_membrane;1
Bcl2_rna_M1_macrophage___nucleus;1
Bcl2_rna_M2_macrophage_nucleus;1
BCL2A1_rna;1
BCL2L1_M1_macrophage__Mitochondria;1
BCL2L1_rna;1
BCL3_rna_M1_macrophage___nucleus;1
BCL3_rna_M2_macrophage_nucleus;1
biglycan_simple_molecule;1
Bim_M1_macrophage__Mitochondria;1
Bim_M2_macrophage__mitochondria;1
bmp6;1
BSG;1
BTK_rna;1
BTRC_rna;1
C_EBPb_phosphorylated;1
c_FOS_M1_macrophage___Cytoplasm;1
c_FOS_M1_macrophage___Cytoplasm_active;1
c_FOS_M1_macrophage___nucleus;1
c_JUN;1
c_JUN_phosphorylated_M1_macrophage___Cytoplasm;1
c_JUN_phosphorylated_M1_macrophage___nucleus;1
c_Myc_rna_M1_macrophage___nucleus;1
c_Myc_rna_M2_macrophage_nucleus;1
C5a_C5aR1_complex_M1_macrophage__Cytoplasmic_membrane_up;1
C5a_C5aR1_complex_M2_macrophage__cytoplasmic_membrane_up;1
c5a_M1_macrophage___Extracellular_Space;1
c5a_M2_macrophage__extracellular_space;1
CALCINEURIN;1
Casp1_M1_macrophage___Cytoplasm;1
Casp1_M2_macrophage__cytoplasm;1
CASP3_M2_macrophage__cytoplasm;1
CASP7_M2_macrophage__cytoplasm;1
CASP8_M1_macrophage___Cytoplasm;1
CASP8_M2_macrophage__cytoplasm;1
CAV1_rna;1
CCL18_Fibroblast___Extracellular_Space;1
CCL18_M2_macrophage__secreted_components;1
CCL2_CCR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1
CCL2_CCR2_complex_TH1___cytoplasmic_membrane_up;1
CCL2_Fibroblast___Extracellular_Space;1
CCL2_Fibroblast___secreted_components;1
CCL2_M1_macrophage___Extracellular_Space;1
CCL2_M1_macrophage___Secreted_components;1
CCL2_TH1___extracellular_space;1
CCL20_M1_macrophage___Secreted_components;1
CCL20_M2_macrophage__secreted_components;1
CCL21;1
CCL21_CCR7_complex_M1_macrophage__Cytoplasmic_membrane_up;1
CCL21_CCR7_complex_M2_macrophage__cytoplasmic_membrane_up;1
CCl21_M1_macrophage___Extracellular_Space;1
CCl21_M2_macrophage__extracellular_space;1
CCL3_M1_macrophage___Secreted_components;1
CCL3_TH1___secreted_components;1
CCL4_5_CCR5_complex;1
CCL4_M1_macrophage___Secreted_components;1
CCL4_TH1___extracellular_space;1
CCL4_TH1___secreted_components;1
CCL5_ACKR2_complex;1
CCL5_CCR5_complex;1
CCL5_Fibroblast___Extracellular_Space;1
CCL5_Fibroblast___secreted_components;1
CCL5_M1_macrophage___Secreted_components;1
CCL5_TH1___extracellular_space;1
CCL5_TH1___secreted_components;1
CCNA2;1
CCNB1_CDC2_complex;1
CCND1_rna;1
CCR2_CCL2_complex;1
CCR5;1
CD28;1
CD28_CD86_complex;1
CD32a;1
CD32b_rna;1
CD40_Fibroblast__Cytoplasmic_membrane_up;1
CD40_M1_macrophage__Cytoplasmic_membrane_down;1
CD40LG_CD40_complex;1
CD40LG_ITGAM_ITGB2_complex;1
CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up;1
CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;1
CD40LG_M1_macrophage__Cytoplasmic_membrane_down;1
CD40LG_M2_macrophage__cytoplasmic_membrane_down;1
CD40LG_TH1___cytoplasmic_membrane_down;1
CD80;1
CD84_CD84_complex;1
CD84_Fibroblast__Cytoplasmic_membrane_down;1
CD84_M1_macrophage__Cytoplasmic_membrane_down;1
CD84_M2_macrophage__cytoplasmic_membrane_down;1
CD84_TH1___cytoplasmic_membrane_up;1
CD86_M1_macrophage__Cytoplasmic_membrane_down;1
CD86_M2_macrophage__cytoplasmic_membrane_down;1
Cell_chemotaxis_migration_fibroblast_phenotype;1
Cell_chemotaxis_migration_TH1_phenotype;1
CFLAR_Fibroblast___Cytoplasm;1
CFLAR_Fibroblast___Cytoplasm_active;1
cFLIP_M1_macrophage___Cytoplasm;1
cFLIP_M1_macrophage___Cytoplasm_active;1
cFLIP_M2_macrophage__cytoplasm;1
cFLIP_M2_macrophage__cytoplasm_active;1
cGAS;1
CHUK_phosphorylated;1
cIAP1;1
cMyc;1
cMyc_phosphorylated_M2_macrophage__cytoplasm;1
cMyc_phosphorylated_M2_macrophage_nucleus;1
col4a3_Fibroblast___Extracellular_Space;1
COL4A3_ITGA4_ITGB7_complex;1
col4a3_M2_macrophage__secreted_components;1
col4a3_TH1___extracellular_space;1
col4a4_Fibroblast___secreted_components;1
col4a4_M1_macrophage___Extracellular_Space;1
col4a4_M2_macrophage__extracellular_space;1
COL4A5;1
col4a5_Fibroblast___Extracellular_Space;1
col4a5_M1_macrophage___Extracellular_Space;1
col4a5_M2_macrophage__extracellular_space;1
