Names;Target_nodes
ITGA4;COL4A3_ITGA4_ITGB7_complex,ITGA4_ITGB1_col4a3_complex,ITGA4_ITGB1_complex,ITGA4_ITGB1_sema7a_complex,ITGA4_ITGB7_complex,VCAM1_ITGA4_ITGB7_complex
ACKR3;ACKR3_CXCL12_complex
CASP3;CASP3_Fibroblast___Cytoplasm,CASP3_M1_macrophage___Cytoplasm,CASP3_M2_macrophage__cytoplasm
CASP8;CASP8_Fibroblast___Cytoplasm,CASP8_M1_macrophage___Cytoplasm,CASP8_M2_macrophage__cytoplasm
NOS2;NOS2,NOS2_phosphorylated
CTSK;CTSK_rna
FAS;FAS_FASL_complex,FAS_M1_macrophage__Cytoplasmic_membrane_up,FAS_M2_macrophage__cytoplasmic_membrane_up,FASL_FAS_complex_M1_macrophage__Cytoplasmic_membrane_up,FASL_FAS_complex_M2_macrophage__cytoplasmic_membrane_up,FASLG_FAS_complex
ACVR2B;ACVR2A_ACVR2B_complex
FGFR4;FGF1_FGFR4_complex
CHUK;CHUK_phosphorylated
IRAK4;IRAK1_IRAK4_complex,IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm,IRAK1_IRAK4_complex_TH1___cytoplasm,IRAK4_Fibroblast___Cytoplasm,IRAK4_Fibroblast___Cytoplasm_active,IRAK4_phosphorylated,TRAF6_IRAK1_IRAK4_complex
BCL2;BCL2_Fibroblast___Mitochondrion,Bcl2_rna_M1_macrophage___nucleus,Bcl2_rna_M2_macrophage_nucleus
CCR5;CCL4_5_CCR5_complex,CCL5_CCR5_complex,CCR5
C5AR1;C5a_C5aR1_complex_M1_macrophage__Cytoplasmic_membrane_up,C5a_C5aR1_complex_M2_macrophage__cytoplasmic_membrane_up
PRKACA;PRKACA
TBK1;IKKE_TBK1_complex,IKKE_TBK1_TRAF3_complex,TBK1,TBK1_IKBKE_complex
MAP3K5;map3k5,MAP3K5_phosphorylated
GALR2;GAL_GALR2_complex_M1_macrophage__Cytoplasmic_membrane_up,GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up
IRAK1;IRAK1_Fibroblast___Cytoplasm,IRAK1_Fibroblast___Cytoplasm_active,IRAK1_IRAK4_complex,IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm,IRAK1_IRAK4_complex_TH1___cytoplasm,IRAK1_M1_macrophage___Cytoplasm,TRAF6_IRAK1_IRAK4_complex
LYN;lyn
TYK2;JAK1_JAK2_TYK2_complex,JAK1_TYK2_complex_M1_macrophage___Cytoplasm,JAK1_TYK2_complex_M2_macrophage__cytoplasm,JAK1_TYK2_complex_TH1___cytoplasm,JAK2_TYK2_complex_M1_macrophage___Cytoplasm,JAK2_TYK2_complex_TH1___cytoplasm,TYK2
MAPK9;MAPK9_phosphorylated
CXCR2;CXCR2_CXCL8_complex
ZAP70;ZAP70
PDGFRB;PDGFC_PDGFRB_complex
MAP3K8;MAP3K8_phosphorylated,NFKB1_MAP3K8_complex
MERTK;GAS6_MERTK_complex,gas6_mertk_complex
MAPKAPK2;MAPKAPK2_phosphorylated,MK2_phosphorylated_M1_macrophage___nucleus,MK2_phosphorylated_M2_macrophage_nucleus
