Node;Name
CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;ITGA1
COL4A3_ITGA4_ITGB7_complex,ITGA4_ITGB1_col4a3_complex,ITGA4_ITGB1_complex,ITGA4_ITGB1_sema7a_complex,ITGA4_ITGB7_complex,VCAM1_ITGA4_ITGB7_complex;ITGA4
ITGA5_ITGB1_col4a5_complex,ITGA5_ITGB1_complex;ITGA5
ICAM1_ITGB2_ITGAL_complex,ITGAL_ITGB2_complex;ITGAL
CD40LG_ITGAM_ITGB2_complex,ITGAM_ITGB2_complex;ITGAM
FN1_ITGAV_complex;ITGAV
CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up,ITGA4_ITGB1_col4a3_complex,ITGA4_ITGB1_complex,ITGA4_ITGB1_sema7a_complex,ITGA5_ITGB1_col4a5_complex,ITGA5_ITGB1_complex,ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;ITGB1
CD40LG_ITGAM_ITGB2_complex,ICAM1_ITGB2_ITGAL_complex,ITGAL_ITGB2_complex,ITGAM_ITGB2_complex;ITGB2
COL4A3_ITGA4_ITGB7_complex,ITGA4_ITGB7_complex,VCAM1_ITGA4_ITGB7_complex;ITGB7
jag1,JAG1_M1_macrophage__Cytoplasmic_membrane_down,JAG1_M2_macrophage__cytoplasmic_membrane_down,JAG1_NOTCH1_complex,JAG1_NOTCH3_complex,JAG1_rna,notch1_JAG1_complex;JAG1
JAK1_Fibroblast___Cytoplasm,JAK1_JAK2_complex_M1_macrophage___Cytoplasm,JAK1_JAK2_complex_TH1___cytoplasm,JAK1_JAK2_TYK2_complex,JAK1_JAK3_complex,JAK1_M1_macrophage___Cytoplasm,JAK1_M2_macrophage__cytoplasm,JAK1_TYK2_complex_M1_macrophage___Cytoplasm,JAK1_TYK2_complex_M2_macrophage__cytoplasm,JAK1_TYK2_complex_TH1___cytoplasm,TYK2;JAK1
JAK1_JAK2_complex_M1_macrophage___Cytoplasm,JAK1_JAK2_complex_TH1___cytoplasm,JAK1_JAK2_TYK2_complex,JAK2_Fibroblast___Cytoplasm,JAK2_M1_macrophage___Cytoplasm,JAK2_M2_macrophage__cytoplasm,JAK2_TYK2_complex_M1_macrophage___Cytoplasm,JAK2_TYK2_complex_TH1___cytoplasm,TYK2;JAK2
JAK1_JAK3_complex,JAK3,TYK2;JAK3
JNK1_phosphorylated_M1_macrophage___Cytoplasm,JNK1_phosphorylated_M1_macrophage___nucleus,JNK1_phosphorylated_M2_macrophage_nucleus;JNK1
c_JUN,c_JUN_phosphorylated_M1_macrophage___Cytoplasm,c_JUN_phosphorylated_M1_macrophage___nucleus,JUN_phosphorylated;JUN
JUNB;JUNB
p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus,p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm,p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus,p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm,p38MAPK_empty,p38MAPK_phosphorylated,p38MAPK_empty,p38MAPK_phosphorylated;MAPK14
klf4;KLF4
KRAS;KRAS
HLA_DP_DQ_DR_LAG3_complex,LAG3;LAG3
LAT_phosphorylated;LAT
LBP_CD14_complex;LBP
LCK_phosphorylated;LCK
CTNNB1_TCF_LEF_complex,TCF_LEF_Fibroblast___nucleus,TCF_LEF_M2_macrophage_nucleus;LEF
LGALS9_Fibroblast___secreted_components,LGALS9_M1_macrophage___Secreted_components,LGALS9_TH1___extracellular_space,LGALS9_TIM3_complex;LGALS9
LIFR_IL6ST_CTF1_complex;LIFR
HLA_B_LILRB1_complex_M1_macrophage__Cytoplasmic_membrane_up,HLA_B_LILRB1_complex_M2_macrophage__cytoplasmic_membrane_up;LILRB1
FZD1_LRP5_complex,FZD5_LRP5_wnt5a_complex,WNT5B_FZD1_LRP5_complex;LRP5
LTA_TH1___extracellular_space,LTA_TNFRSF14_complex;LTA
LTBP1;LTBP1
LY96,LY96_TLR2_4_complex;LY96
lyn;LYN
maf_rna;MAF
MAML1,NICD_CSL_SKIP_MAML1_ep300_complex,NICD_EP300_SKIP_CSL_MAML1_complex;MAML1
MAP2K1_phosphorylated_Fibroblast___Cytoplasm,MAP2K1_phosphorylated_TH1___cytoplasm,MEK1_phosphorylated_M1_macrophage___Cytoplasm,MEK1_phosphorylated_M2_macrophage__cytoplasm;MAP2K1
MAP2K3_phosphorylated,MKK3_phosphorylated_M1_macrophage___Cytoplasm,MKK3_phosphorylated_M2_macrophage__cytoplasm;MAP2K3
MAP2K4_phosphorylated,MKK4_phosphorylated_M1_macrophage___Cytoplasm,MKK4_phosphorylated_M2_macrophage__cytoplasm;MAP2K4
MAP2K6_phosphorylated,MKK6_phosphorylated_M1_macrophage___Cytoplasm,MKK6_phosphorylated_M2_macrophage__cytoplasm;MAP2K6
MAP2K7_phosphorylated,MKK7_phosphorylated_M1_macrophage___Cytoplasm,MKK7_phosphorylated_M2_macrophage__cytoplasm;MAP2K7
MAP3K1_phosphorylated,MAP3K14_phosphorylated,MEKK1_M1_macrophage___Cytoplasm,MEKK1_M2_macrophage__cytoplasm,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex;MAP3K1
MAP3K14_phosphorylated,NIK_M1_macrophage___Cytoplasm,NIK_TH1___cytoplasm;MAP3K14
MAP3K2_3_4;MAP3K2
map3k5,MAP3K5_phosphorylated;MAP3K5
MAP3K7_phosphorylated,MAP3K7_rna;MAP3K7
MAP3K8_phosphorylated,NFKB1_MAP3K8_complex;MAP3K8
MAP4K4_phosphorylated;MAP4K4
MAPK1_empty,MAPK1_phosphorylated_Fibroblast___Cytoplasm,MAPK1_phosphorylated_TH1___cytoplasm;MAPK1
MAPK3_complex,MAPK3_phosphorylated;MAPK3
MAPK8,MAPK8_phosphorylated;MAPK8
MAPK9_phosphorylated;MAPK9
MAPKAPK2_phosphorylated,MK2_phosphorylated_M1_macrophage___nucleus,MK2_phosphorylated_M2_macrophage_nucleus;MAPKAPK2
MCL1,mcl1,Mcl1_rna_M1_macrophage___nucleus,Mcl1_rna_M2_macrophage_nucleus;MCL1
TLR4_Md2_CD14_fibrinogen_complex;MD2
MDM2,MDM2_phosphorylated_Fibroblast___Cytoplasm,MDM2_phosphorylated_M1_macrophage___Cytoplasm,MDM2_phosphorylated_M2_macrophage__cytoplasm;MDM2
MEK2_phosphorylated_M1_macrophage___Cytoplasm,MEK2_phosphorylated_M2_macrophage__cytoplasm;MAP2K2
GAS6_MERTK_complex,gas6_mertk_complex;MERTK
PLXNB1_MET_complex,PLXNB1_MET_sema4a_complex,PLXNB2_MET_complex,SEMA4_PLXNB2_MET_complex;MET
MIF_CD74_complex,MIF_CXCR4_complex,MIF_Fibroblast___Extracellular_Space,MIF_TH1___extracellular_space;MIF
MIR10a_rna;MIR10A
MIR124A_rna;MIR124A
MIR146A_rna;MIR146A
MIR155_rna;MIR155
MIR192_rna;MIR192
MIR203A_rna;MIR203A
MIR221_rna;MIR221
MIR338_5P_rna;MIR338
MIR346_rna;MIR346
MIR34A_rna;MIR34A
MIR451A_rna;MIR451A
MIR650_rna;MIR650
MMP1;MMP1
MMP13;MMP13
MMP14_M1_macrophage___Secreted_components,MMP14_M2_macrophage__secreted_components;MMP14
MMP3_Fibroblast___secreted_components,MMP3_M1_macrophage___Secreted_components,MMP3_M2_macrophage__secreted_components;MMP3
MMP9_Fibroblast___secreted_components,MMP9_M1_macrophage___Secreted_components,MMP9_M2_macrophage__secreted_components;MMP9
MSK1_phosphorylated;MSK1
mtor;MTOR
MYD88_Fibroblast___Cytoplasm,MYD88_M1_macrophage___Cytoplasm,MYD88_TH1___cytoplasm,MYD88_TIRAP_TOLLIP_complex,TIRAP_MYD88_complex;MYD88
NCID_Fibroblast___nucleus,NCID_M1_macrophage___Cytoplasm,ncid_rbpj_snw1_complex;NCID
NECTIN3_PTPRC_NECTIN1_complex;NECTIN1
NECTIN3_PTPRC_NECTIN1_complex;NECTIN3
NFAT;NFAT
NFAT5,NFAT5_phosphorylated_Fibroblast___nucleus,NFAT5_phosphorylated_M2_macrophage_nucleus;NFAT5
IKBA_NFKB1_RELA_complex,NFKB1_Fibroblast___Cytoplasm,NFKB1_M1_macrophage___Cytoplasm,NFKB1_M2_macrophage__cytoplasm,NFKB1_MAP3K8_complex,NFKB1_RELA_complex,NFKB1_RELA_NFKBIA_complex,NFKB1_TPL2_complex_M1_macrophage___Cytoplasm,NFKB1_TPL2_complex_M2_macrophage__cytoplasm,NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm,NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_complex_M1_macrophage___nucleus,RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M2_macrophage_nucleus,RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm;NFKB1
NFKB2_RELB_complex;NFKB2
NFKBIA_phosphorylated_Fibroblast___Cytoplasm,NFKBIA_phosphorylated_M1_macrophage___Cytoplasm,NFKBIA_phosphorylated_M2_macrophage__cytoplasm,NFKBIA_phosphorylated_TH1___cytoplasm,NFKBIA_rna;NFKBIA
NFKBIE_Fibroblast___Cytoplasm,NFKBIE_M1_macrophage___Cytoplasm,NFKBIE_M2_macrophage__cytoplasm;NFKBIE
ngef;NGEF
NICD_CSL_SKIP_MAML1_ep300_complex,NICD_EP300_SKIP_CSL_MAML1_complex,NICD_M1_macrophage___nucleus,NICD_TH1___nucleus;NICD
NLK_phosphorylated;NLK
NLRP3_INFLAMMASOME_complex_M1_macrophage___Cytoplasm,NLRP3_INFLAMMASOME_complex_M2_macrophage__cytoplasm,NLRP3_M1_macrophage___Cytoplasm,NLRP3_M2_macrophage__cytoplasm;NLRP3
NOD2;NOD2
NOS2,NOS2_phosphorylated;NOS2
JAG1_NOTCH1_complex,NOTCH1,notch1_JAG1_complex;NOTCH1
JAG1_NOTCH3_complex,notch3;NOTCH3
NRAS;NRAS
RXRa_NUR77_complex_M1_macrophage___Cytoplasm,RXRa_NUR77_complex_M2_macrophage__cytoplasm;NUR77
OPN_M1_macrophage___Cytoplasm,OPN_M2_macrophage__cytoplasm;OPN
p15_rna_M1_macrophage___nucleus,p15_rna_M2_macrophage_nucleus;P15
p21_rna;P21
NICD_CSL_SKIP_MAML1_ep300_complex,p300_SP1_complex_M1_macrophage___nucleus,p300_SP1_complex_M2_macrophage_nucleus;P300
p53,p53_phosphorylated_M1_macrophage___Cytoplasm,p53_phosphorylated_M2_macrophage__cytoplasm,p53_phosphorylated_M2_macrophage_nucleus,TP53_phosphorylated;TP53
PDCD1;PDCD1
PDE4B;PDE4B
PDGFC_Fibroblast___Extracellular_Space,PDGFC_M2_macrophage__secreted_components,PDGFC_PDGFRB_complex;PDGFC
PDGFC_PDGFRB_complex;PDGFRB
PDIA3_HLA_A_B2M_complex;PDIA3
PI3K_M1_macrophage___Cytoplasm,PI3K_M2_macrophage__cytoplasm,PI3K_phosphorylated,PI3K_M1_macrophage___Cytoplasm,PI3K_M2_macrophage__cytoplasm,PI3K_phosphorylated;PI3K
PIK3AP1_phosphorylated_M1_macrophage___Cytoplasm,PIK3AP1_phosphorylated_M2_macrophage__cytoplasm;PIK3AP1
PIK3R5_phosphorylated;PIK3R5
PITPNM3_CCL18_complex;PITPNM3
PLA2G2A_phosphorylated;PLA2G2A
PLCG1;PLCG1
PLCG2;PLCG2
PLXNA1,PLXNA1_sema3A_complex;PLXNA1
PLXNB1,PLXNB1_MET_complex,PLXNB1_MET_sema4a_complex,SEMA4_PLXNB1_complex;PLXNB1
PLXNB2_MET_complex,SEMA4_PLXNB2_MET_complex;PLXNB2
PMAIP1_Fibroblast___Cytoplasm,PMAIP1_Fibroblast___Cytoplasm_active;PMAIP1
POU2F1;POU2F1
PP2A;PP2A
PP4;PP4
PPARg_rna;PPARG
PRKACA;PRKACA
PRKCD,Prkcd_M1_macrophage___Cytoplasm,Prkcd_M2_macrophage__cytoplasm;PRKCD
PRKCQ_Fibroblast___Cytoplasm,PRKCQ_M1_macrophage___Cytoplasm,PRKCQ_M2_macrophage__cytoplasm,PRKCQ_TH1___cytoplasm;PRKCQ
PRKG1_Fibroblast___Cytoplasm,PRKG1_M1_macrophage___Cytoplasm,PRKG1_M2_macrophage__cytoplasm;PRKG1
PRL_M2_macrophage__extracellular_space,PRL_PRLR_complex;PRL
PRL_PRLR_complex;PRLR
PTEN;PTEN
PTGS2_rna;PTGS2
PTK2_M1_macrophage___Cytoplasm,PTK2_M2_macrophage__cytoplasm,PTK2_TH1___cytoplasm,PTK2B_phosphorylated;PTK2
PTK2B_phosphorylated;PTK2B
PTPN11_phosphorylated,SHP2_GRB2_complex;PTPN11
PTPN6_Fibroblast___Cytoplasm,PTPN6_M1_macrophage___Cytoplasm,PTPN6_M2_macrophage__cytoplasm;PTPN6
NECTIN3_PTPRC_NECTIN1_complex;PTPRC
pyk2_phosphorylated;PYK2
RAB5A;RAB5A
RAC1_2,Rac1_M1_macrophage___Cytoplasm,Rac1_M2_macrophage__cytoplasm,Rac1_TH1___cytoplasm;RAC1
RAF1_Fibroblast___Cytoplasm,RAF1_M1_macrophage___Cytoplasm,RAF1_M2_macrophage__cytoplasm,RAF1_TH1___cytoplasm;RAF1
RANK_RANKL_complex,RANK_RANKL_complex,TNFSF11_Fibroblast___Extracellular_Space,TNFSF11_M1_macrophage___Extracellular_Space,TNFSF11_TNFRSF11_complex;TNFSF11
rasa1;RASA1
RBL1_E2F4_DP1_complex;RBL1
ncid_rbpj_snw1_complex,rbpj;RBPJ
RDX;RDX
IKBA_NFKB1_RELA_complex,NFKB1_RELA_complex,NFKB1_RELA_NFKBIA_complex,NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm,NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_complex_M1_macrophage___nucleus,RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M2_macrophage_nucleus,RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm;RELA
NFKB2_RELB_complex;RELB
RHOA_Fibroblast___Cytoplasm,RHOA_M1_macrophage___Cytoplasm,RHOA_M2_macrophage__cytoplasm,RHOA_TH1___cytoplasm;RHOA
TRADD_TRAF2_RIP1_complex,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex;RIP1
RIPK1,RIPK1_TRAF6_complex;RIPK1
RIPK3;RIPK3
RPS6KA4;RPS6KA4
RPS6KB1_phosphorylated;RPS6KB1
RUNX1;RUNX1
RUNX3;RUNX3
RXRa_NUR77_complex_M1_macrophage___Cytoplasm,RXRa_NUR77_complex_M2_macrophage__cytoplasm;RXRa
SARA_M1_macrophage___Cytoplasm,SARA_M2_macrophage__cytoplasm,SMAD2_SARA_complex_M1_macrophage___Cytoplasm,SMAD2_SARA_complex_M2_macrophage__cytoplasm;SARA
SARM1;SARM1
PLXNA1_sema3A_complex,sema3A;SEMA3A
SEMA4A_Fibroblast___Extracellular_Space,SEMA4A_M2_macrophage__extracellular_space,SEMA4A_TH1___extracellular_space;SEMA4A
SEMA4D_M2_macrophage__extracellular_space,SEMA4D_TH1___extracellular_space;SEMA4D
ITGA4_ITGB1_sema7a_complex,sema7a_Fibroblast___Extracellular_Space;SEMA7A
SERPINE1_rna;SERPINE1
SH2D1A_Fibroblast___Cytoplasm,SH2D1A_M2_macrophage__cytoplasm,SH2D1A_TH1___cytoplasm;SH2D1A
Shc_phosphorylated,SHC1_phosphorylated;SHC1
SHC2_phosphorylated;SHC2
SHIP1_M2_macrophage__cytoplasm,SHIP1_TH1___cytoplasm;INPP5D
Sirt1_M1_macrophage___nucleus,Sirt1_M2_macrophage__cytoplasm;SIRT1
NICD_CSL_SKIP_MAML1_ep300_complex,NICD_EP300_SKIP_CSL_MAML1_complex,SKIP;SKIP
smad1_phosphorylated,smad4_smad1_complex;SMAD1
SMAD2_phosphorylated_M1_macrophage___Cytoplasm,SMAD2_phosphorylated_M2_macrophage__cytoplasm,SMAD2_SARA_complex_M1_macrophage___Cytoplasm,SMAD2_SARA_complex_M2_macrophage__cytoplasm,SMAD2_SMAD4_complex_M1_macrophage___nucleus,SMAD2_SMAD4_complex_M2_macrophage_nucleus;SMAD2
SMAD2_SMAD4_complex_M1_macrophage___nucleus,SMAD2_SMAD4_complex_M2_macrophage_nucleus,SMAD4_M1_macrophage___Cytoplasm,SMAD4_M2_macrophage__cytoplasm,smad4_smad1_complex;SMAD4
SMAD7_Fibroblast___Cytoplasm,SMAD7_M1_macrophage___Cytoplasm,SMAD7_M2_macrophage__cytoplasm;SMAD7
ncid_rbpj_snw1_complex,snw1;SNW1
SOCS3,SOCS3_rna;SOCS3
SOS1_Fibroblast___Cytoplasm,SOS1_M1_macrophage___Cytoplasm,SOS1_M2_macrophage__cytoplasm,SOS1_TH1___cytoplasm;SOS1
p300_SP1_complex_M1_macrophage___nucleus,p300_SP1_complex_M2_macrophage_nucleus;SP1
Src_M1_macrophage___Cytoplasm,Src_M2_macrophage__cytoplasm,SRC_phosphorylated,Src_TH1___cytoplasm;SRC
sst,sst_sstr_complex,sst_sstr_complex;SSTR
HOMODIMER_space_STAT1,STAT1_Fibroblast___Cytoplasm,STAT1_Fibroblast___nucleus,STAT1_M1_macrophage___Cytoplasm,STAT1_STAT1_complex_M1_macrophage___nucleus,STAT1_STAT1_complex_TH1___nucleus,STAT1_STAT2_complex,STAT1_STAT2_IRF9_complex,STAT1_TH1___cytoplasm;STAT1
STAT1_STAT2_complex,STAT1_STAT2_IRF9_complex,STAT2_Fibroblast___Cytoplasm,STAT2_M1_macrophage___Cytoplasm;STAT2
HOMODIMER_space_STAT3,STAT3_Fibroblast___Cytoplasm,STAT3_Fibroblast___nucleus,STAT3_M1_macrophage___Cytoplasm,STAT3_M2_macrophage__cytoplasm,STAT3_STAT3_complex_M1_macrophage___nucleus,STAT3_STAT3_complex_M2_macrophage_nucleus;STAT3
STAT4_M1_macrophage___Cytoplasm,STAT4_STAT4_complex_M1_macrophage___nucleus,STAT4_STAT4_complex_TH1___nucleus,STAT4_TH1___cytoplasm;STAT4
STAT5_CRKL_complex,STAT5_phosphorylated;STAT5
STAT6,STAT6_STAT6_complex;STAT6
SYK_M1_macrophage___Cytoplasm,SYK_M2_macrophage__cytoplasm,Syk_phosphorylated;SYK
TAB1,TAB1_TAB2_complex,TAB1_TAB2_TAK1_complex,TAB1_TAB2_TRAF6_complex,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex,TRAF6_TAB1_TAB2_TAK1_complex;TAB1
TAB1_TAB2_complex,TAB1_TAB2_TAK1_complex,TAB1_TAB2_TRAF6_complex,TAB2_phosphorylated,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex,TRAF6_TAB1_TAB2_TAK1_complex;TAB2
TAB1_TAB2_TAK1_complex,TAK1,TAK1_phosphorylated,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex,TRAF6_TAB1_TAB2_TAK1_complex;TAK1
IKKE_TBK1_complex,IKKE_TBK1_TRAF3_complex,TBK1,TBK1_IKBKE_complex;TBK1
tbx21,tbx21_phosphorylated;TBX21
CTNNB1_TCF_LEF_complex,TCF_LEF_Fibroblast___nucleus,TCF_LEF_M2_macrophage_nucleus;TCF
HLA_DP_DQ_DR_TCR_CD3_complex,TCR_CD3_complex;TCR
TGFb1,TGFB1_Fibroblast___Extracellular_Space,TGFB1_Fibroblast___Extracellular_Space_active,TGFB1_M2_macrophage__extracellular_space,TGFB1_TGFBR1_complex,TGFBR1_TGFBR2_TGFB1_complex;TGFB1
tgfb3;TGFB3
TGFB1_TGFBR1_complex,TGFBR1_TGFBR2_complex,TGFBR1_TGFBR2_TGFB1_complex;TGFBR1
TGFBR1_TGFBR2_complex,TGFBR1_TGFBR2_TGFB1_complex;TGFBR2
THBS1_rna;THBS1
TICAM1,TICAM1_TICAM2_complex;TICAM1
TICAM1_TICAM2_complex,TICAM2;TICAM2
LGALS9_TIM3_complex;TIM3
MYD88_TIRAP_TOLLIP_complex,TIRAP,TIRAP_MYD88_complex;TIRAP
TLR1_TLR2_biglycan_complex,TLR1_TLR2_complex;TLR1
LY96_TLR2_4_complex,TLR1_TLR2_biglycan_complex,TLR1_TLR2_complex,TLR2_TLR6_biglycan_complex,TLR2_TLR6_complex;TLR2
TLR3_dsRNA_complex;TLR3
TLR4_Md2_CD14_fibrinogen_complex;TLR4
TLR5_Fibroblast__Cytoplasmic_membrane_up,TLR5_M1_macrophage__Cytoplasmic_membrane_up;TLR5
TLR2_TLR6_biglycan_complex,TLR2_TLR6_complex;TLR6
TLR7_TLR8_ssRNA_complex;TLR7
TLR7_TLR8_ssRNA_complex;TLR8
TLR9_DNA_complex;TLR9
TNF_Fibroblast___Extracellular_Space,TNF_M1_macrophage___Extracellular_Space,TNF_TH1___extracellular_space,TNF_TNFRSF1A_B_complex,TNF_TNFRSF1A_complex,TNF_TNFRSF1B_complex,TNFA,TNFA_rna;TNF
TNFA;TNFA
TNFAIP3_rna_M1_macrophage___nucleus,TNFAIP3_rna_M2_macrophage_nucleus;TNFAIP3
TNFRSF10A_rna;TNFRSF10A
TNFRSF10B_rna;TNFRSF10B
TNFSF11_TNFRSF11_complex;TNFRSF11
LTA_TNFRSF14_complex;TNFRSF14
TNF_TNFRSF1A_B_complex,TNF_TNFRSF1A_complex;TNFRSF1A
TNF_TNFRSF1B_complex;TNFRSF1B
TNFSF4_TNFRSF4_complex;TNFRSF4
TNFSF4,TNFSF4_TNFRSF4_complex;TNFSF4
MYD88_TIRAP_TOLLIP_complex;TOLLIP
TP73_phosphorylated;TP73
NFKB1_TPL2_complex_M1_macrophage___Cytoplasm,NFKB1_TPL2_complex_M2_macrophage__cytoplasm,TPL2_M1_macrophage___Cytoplasm,TPL2_M2_macrophage__cytoplasm;TPL2
TRADD_Fibroblast___Cytoplasm,TRADD_M1_macrophage___Cytoplasm,TRADD_TRAF2_RIP1_complex,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex;TRADD
TRAF1_rna_Fibroblast___nucleus,TRAF1_rna_M1_macrophage___nucleus,TRAF1_rna_M2_macrophage_nucleus,TRAF1_TRAF2_TRAF3_complex;TRAF1
TRADD_TRAF2_RIP1_complex,TRAF1_TRAF2_TRAF3_complex,TRAF2,TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex,TRAF2_TRAF5_complex,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm_active,TRAF2_TRAF6_complex;TRAF2
IKKE_TBK1_TRAF3_complex,TRAF1_TRAF2_TRAF3_complex,TRAF3_Fibroblast___Cytoplasm,TRAF3_M1_macrophage___Cytoplasm,TRAF3_TH1___cytoplasm,TRAF3_TRAF6_complex;TRAF3
TRAF3IP2_phosphorylated_Fibroblast___Cytoplasm,TRAF3IP2_phosphorylated_M2_macrophage__cytoplasm;TRAF3IP2
TRAF2_TRAF5_complex,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm_active;TRAF5
RIPK1_TRAF6_complex,TAB1_TAB2_TRAF6_complex,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm,TRAF2_TRAF5_TRAF6_complex_TH1___cytoplasm_active,TRAF2_TRAF6_complex,TRAF3_TRAF6_complex,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex,TRAF6_Fibroblast___Cytoplasm,TRAF6_IRAK1_IRAK4_complex,TRAF6_M1_macrophage___Cytoplasm,TRAF6_phosphorylated_Fibroblast___Cytoplasm,TRAF6_phosphorylated_TH1___cytoplasm,TRAF6_TAB1_TAB2_TAK1_complex,TRAF6_ubiquitinated_M1_macrophage___Cytoplasm,TRAF6_ubiquitinated_M2_macrophage__cytoplasm;TRAF6
TRAM1,TRAM1_TRIF_complex;TRAM1
TRAM1_TRIF_complex,TRIF;TRIF
TSC2_phosphorylated;TSC2
TSG6;TSG6
TXK;TXK
JAK1_JAK2_TYK2_complex,JAK1_TYK2_complex_M1_macrophage___Cytoplasm,JAK1_TYK2_complex_M2_macrophage__cytoplasm,JAK1_TYK2_complex_TH1___cytoplasm,JAK2_TYK2_complex_M1_macrophage___Cytoplasm,JAK2_TYK2_complex_TH1___cytoplasm,TYK2;TYK2
UEV1A_UBC13_complex;UBC13
UEV1A_UBC13_complex;UEV1A
VAV1,VAV1_2_3;VAV1
VCAM1_Fibroblast__Cytoplasmic_membrane_down,VCAM1_ITGA4_ITGB7_complex,VCAM1_TH1___cytoplasmic_membrane_down;VCAM1
vcan;VCAN
vegfa,VEGFa_Fibroblast___Extracellular_Space,VEGFA_VEGFR_complex,VegfR1_Vegfa_complex;VEGFA
Vegfb_M2_macrophage__extracellular_space,VegfR1_vegfb_complex;VEGFB
vegfc,Vegfc_M2_macrophage__extracellular_space,vegfc_vegfr3_complex,VegfR2_vegfc_complex;VEGFC
VEGFA_VEGFR_complex,VegfR1,VegfR1_Vegfa_complex,VegfR1_vegfb_complex;VEGFR1
VegfR2_vegfc_complex;VEGFR2
vegfc_vegfr3_complex;VEGFR3
WNT_FRIZZLED_complex,WNT5A,WNT5B,WNT5B__rna,WNT5B_FZD1_LRP5_complex,WNT5B_gene;WNT
FZD5_LRP5_wnt5a_complex,WNT5A;WNT5A
WNT5B,WNT5B__rna,WNT5B_FZD1_LRP5_complex,WNT5B_gene;WNT5B
XIAP_M1_macrophage___Cytoplasm,XIAP_M2_macrophage__cytoplasm;XIAP
YAP1_phosphorylated;YAP1
YWHAQ;YWHAQ
YY1;YY1
ZAP70;ZAP70
ZC3H12A;ZC3H12A
