Node;Name
CTNNB_CK1A_AXIN_GSK3B_APC_complex,GSK3b_APC_AXIN1_CK1A_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;CK1A
cMyc,cMyc_phosphorylated_M2_macrophage__cytoplasm,cMyc_phosphorylated_M2_macrophage_nucleus,c_Myc_rna_M1_macrophage___nucleus,c_Myc_rna_M2_macrophage_nucleus,cMyc,cMyc_phosphorylated_M2_macrophage__cytoplasm,cMyc_phosphorylated_M2_macrophage_nucleus;MYC
col4a3_Fibroblast___Extracellular_Space,COL4A3_ITGA4_ITGB7_complex,col4a3_M2_macrophage__secreted_components,col4a3_TH1___extracellular_space,ITGA4_ITGB1_col4a3_complex;COL4A3
col4a4_Fibroblast___secreted_components,col4a4_M1_macrophage___Extracellular_Space,col4a4_M2_macrophage__extracellular_space;COL4A4
COL4A5,col4a5_Fibroblast___Extracellular_Space,col4a5_M1_macrophage___Extracellular_Space,col4a5_M2_macrophage__extracellular_space,ITGA5_ITGB1_col4a5_complex;COL4A5
COMP;COMP
COX2_rna_M1_macrophage___nucleus,COX2_rna_M2_macrophage_nucleus;COX2
CPNE3_rna;CPNE3
CREB1_phosphorylated_Fibroblast___nucleus,CREB1_phosphorylated_M2_macrophage_nucleus,CREB1_phosphorylated_TH1___nucleus;CREB1
CRKL_phosphorylated_Fibroblast___Cytoplasm,CRKL_phosphorylated_M1_macrophage___Cytoplasm,DOCK2_CRKL_complex,STAT5_CRKL_complex;CRKL
CSF1_M2_macrophage__extracellular_space,CSF1_M2_macrophage__secreted_components,CSF1_rna;CSF1
CSF1R,CSF1R_CSF1_complex;CSF1R
CSF2_Fibroblast___Extracellular_Space,CSF2_M1_macrophage___Extracellular_Space,CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_CSF2_complex;CSF2
CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_CSF2_complex;CSF2RA
CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_CSF2_complex;CSF2RB
CSFR1R_IL34_complex;CSFR1R
CSK;CSK
CSL,NICD_CSL_SKIP_MAML1_ep300_complex,NICD_EP300_SKIP_CSL_MAML1_complex;CSL
CTF1,LIFR_IL6ST_CTF1_complex;CTF1
CTNNB_CK1A_AXIN_GSK3B_APC_complex,CTNNB1_Fibroblast___nucleus,CTNNB1_M2_macrophage_nucleus,CTNNB1_TCF_LEF_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;CTNNB
CTNNB1_Fibroblast___nucleus,CTNNB1_M2_macrophage_nucleus,CTNNB1_TCF_LEF_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;CTNNB1
CTSK_rna;CTSK
CXCL1_M1_macrophage___Extracellular_Space;CXCL1
CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up,CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up,CXCL10_Fibroblast___Extracellular_Space,CXCL10_TH1___extracellular_space;CXCL10
CXCL11;CXCL11
ACKR3_CXCL12_complex,CXCL12;CXCL12
CXCL13_ACKR4_complex_M1_macrophage__Cytoplasmic_membrane_up,CXCL13_ACKR4_complex_M2_macrophage__cytoplasmic_membrane_up,CXCL13_CXCR3_complex,CXCL13_Fibroblast___Extracellular_Space,CXCL13_M1_macrophage___Extracellular_Space,CXCL13_M2_macrophage__extracellular_space;CXCL13
CXCL16_CXCR6_complex,CXCL16_TH1___extracellular_space;CXCL16
CXCL2;CXCL2
CXCL3;CXCL3
CXCL8_Fibroblast___Extracellular_Space,CXCR2_CXCL8_complex;CXCL8
CXCL9_Fibroblast___secreted_components,CXCL9_M1_macrophage___Secreted_components;CXCL9
CXCR1,CXCR1_IL8_complex_M1_macrophage__Cytoplasmic_membrane_up,CXCR1_IL8_complex_M2_macrophage__cytoplasmic_membrane_up;CXCR1
CXCR2_CXCL8_complex;CXCR2
CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up,CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up,CXCL13_CXCR3_complex,CXCR3;CXCR3
MIF_CXCR4_complex;CXCR4
CXCL16_CXCR6_complex;CXCR6
CYCS;CYCS
CYLD;CYLD
CypA;PPIA
DAG_simple_molecule;DAG
DAXX_Fibroblast___Cytoplasm,DAXX_M1_macrophage___Cytoplasm,DAXX_M2_macrophage__cytoplasm,DAXX_TH1___cytoplasm;DAXX
DKK1;DKK1
DOCK2,DOCK2_CRKL_complex;DOCK2
DUSP1_M1_macrophage___Cytoplasm,DUSP1_M2_macrophage__cytoplasm;DUSP1
DUSP7;DUSP7
Dvl1,DVL1_phosphorylated;DVL1
DYNLRB1;DYNLRB1
RBL1_E2F4_DP1_complex;E2F4
C_EBPb_phosphorylated;EBPB
ECSIT,TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex;ECSIT
EDA_EDA2R_complex,EDA_Fibroblast___Extracellular_Space,EDA_M1_macrophage___Secreted_components,EDA_M2_macrophage__secreted_components;EDA
EDA_EDA2R_complex;EDA2R
EDN1;EDN1
EFNB1,EFNB1_EPHB1_complex,efnb1_rna;EFNB1
EGF,EGF_EGFR_complex;EGF
AREG_EGFR_complex,EGF_EGFR_complex,EGFR,HBGEF_EGFR_complex;EGFR
ELK1_phosphorylated;ELK1
EOMES;EOMES
EP300,NICD_CSL_SKIP_MAML1_ep300_complex,NICD_EP300_SKIP_CSL_MAML1_complex;EP300
EFNB1_EPHB1_complex;EPHB1
EPHB2;EPHB2
ERK1_phosphorylated_M1_macrophage___Cytoplasm,ERK1_phosphorylated_M1_macrophage___nucleus,ERK1_phosphorylated_M2_macrophage__cytoplasm,ERK1_phosphorylated_M2_macrophage_nucleus;ERK1
AGT_F2R_complex;F2R
FADD_Fibroblast___Cytoplasm,FADD_M1_macrophage___Cytoplasm,FADD_M2_macrophage__cytoplasm;FADD
FAS_FASL_complex,FAS_M1_macrophage__Cytoplasmic_membrane_up,FAS_M2_macrophage__cytoplasmic_membrane_up,FASL_FAS_complex_M1_macrophage__Cytoplasmic_membrane_up,FASL_FAS_complex_M2_macrophage__cytoplasmic_membrane_up,FASLG_FAS_complex;FAS
FAS_FASL_complex,FASL_FAS_complex_M1_macrophage__Cytoplasmic_membrane_up,FASL_FAS_complex_M2_macrophage__cytoplasmic_membrane_up,FASL_M1_macrophage___Extracellular_Space,FASL_M1_macrophage___Secreted_components,FASL_M2_macrophage__extracellular_space,FASL_M2_macrophage__secreted_components,FASLG_FAS_complex,FASLG_Fibroblast___Extracellular_Space,FASLG_TH1___extracellular_space,FASLG_TH1___secreted_components,FASLG_FAS_complex,FASLG_Fibroblast___Extracellular_Space,FASLG_TH1___extracellular_space,FASLG_TH1___secreted_components;FASLG
FGF1,FGF1_FGFR4_complex;FGF1
FGF1_FGFR4_complex;FGFR4
FGR;FGR
TLR4_Md2_CD14_fibrinogen_complex;fibrinogen
FN1_Fibroblast___Extracellular_Space,FN1_ITGAV_complex,FN1_M2_macrophage__secreted_components;FN1
c_FOS_M1_macrophage___Cytoplasm,c_FOS_M1_macrophage___Cytoplasm_active,c_FOS_M1_macrophage___nucleus,FOS;FOS
FOXO_M1_macrophage___Cytoplasm,FOXO_M1_macrophage___nucleus,FOXO1_Fibroblast___nucleus,FOXO1_M2_macrophage_nucleus,FOXO3;FOXO
FOXO1_Fibroblast___nucleus,FOXO1_M2_macrophage_nucleus;FOXO1
FOXO3;FOXO3
WNT_FRIZZLED_complex;FRIZZLED
FZD1_LRP5_complex,WNT5B_FZD1_LRP5_complex;FZD1
FZD5_LRP5_wnt5a_complex;FZD5
GAB1;GAB1
GAB2_phosphorylated_Fibroblast___Cytoplasm,GAB2_phosphorylated_M2_macrophage__cytoplasm;GAB2
gal_Fibroblast___secreted_components,GAL_GALR2_complex_M1_macrophage__Cytoplasmic_membrane_up,GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up,gal_M1_macrophage___Extracellular_Space,gal_M2_macrophage__extracellular_space,GAL_rna,ICAM1_ITGB2_ITGAL_complex;GAL
GAL_GALR2_complex_M1_macrophage__Cytoplasmic_membrane_up,GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up;GALR2
GAS6_Fibroblast___secreted_components,GAS6_M2_macrophage__extracellular_space,GAS6_MERTK_complex,gas6_mertk_complex,GAS6_TH1___extracellular_space;GAS6
gata3_rna;GATA3
GNA12_GNA13_complex_M1_macrophage___Cytoplasm,GNA12_GNA13_complex_M2_macrophage__cytoplasm,GNA12_GNA13_complex_TH1___cytoplasm;GNA12
GNA12_GNA13_complex_M1_macrophage___Cytoplasm,GNA12_GNA13_complex_M2_macrophage__cytoplasm,GNA12_GNA13_complex_TH1___cytoplasm;GNA13
GNAI_GNB_GNG_complex,GNAI_TH1___cytoplasm,GNAI_TH1___cytoplasm_active;GNAI
GNAI3_Fibroblast___Cytoplasm,GNAI3_M1_macrophage___Cytoplasm,GNAI3_M2_macrophage__cytoplasm,GNB_GNG_GNAI3_complex_M1_macrophage___Cytoplasm,GNB_GNG_GNAI3_complex_M2_macrophage__cytoplasm;GNAI3
GNAI_GNB_GNG_complex,GNB_GNG_complex_M1_macrophage___Cytoplasm,GNB_GNG_complex_M2_macrophage__cytoplasm,GNB_GNG_complex_TH1___cytoplasm,GNB_GNG_GNAI3_complex_M1_macrophage___Cytoplasm,GNB_GNG_GNAI3_complex_M2_macrophage__cytoplasm;GNB
GNAI_GNB_GNG_complex,GNB_GNG_complex_M1_macrophage___Cytoplasm,GNB_GNG_complex_M2_macrophage__cytoplasm,GNB_GNG_complex_TH1___cytoplasm,GNB_GNG_GNAI3_complex_M1_macrophage___Cytoplasm,GNB_GNG_GNAI3_complex_M2_macrophage__cytoplasm;GNG
Grb2;GRB22
GRB2_Fibroblast___Cytoplasm,GRB2_TH1___cytoplasm,SHP2_GRB2_complex;GRB2
GSK3B_M2_macrophage_nucleus,GSK3B_Fibroblast___Cytoplasm;GSK3B
GSK3b_APC_AXIN1_CK1A_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;GSK3b
HBEGF,HBGEF_EGFR_complex,HBGEF_M1_macrophage___Secreted_components,HBGEF_M2_macrophage__secreted_components;HBEGF
HCK;HCK
HES1_rna,hes1_rna;HES1
HEY1_rna;HEY1
HIF1_complex;HIF1
Hif1a;HIF1A
Hif1b;HIF1B
HLA_B,HLA_B_LILRB1_complex_M1_macrophage__Cytoplasmic_membrane_up;HLA-B
HLA_B_LILRB1_complex_M2_macrophage__cytoplasmic_membrane_up,HLA_DP_DQ_DR_LAG3_complex,HLA_DP_DQ_DR_M1_macrophage__Cytoplasmic_membrane_down,HLA_DP_DQ_DR_M2_macrophage__cytoplasmic_membrane_down,HLA_DP_DQ_DR_TCR_CD3_complex,HLA_DRB1_rna,PDIA3_HLA_A_B2M_complex;HLA
HMGB1;HMGB1
HRAS_M1_macrophage___Cytoplasm,HRAS_M2_macrophage__cytoplasm;HRAS
HSPA5;HSPA5
ICAM1_Fibroblast__Cytoplasmic_membrane_down,ICAM1_ITGB2_ITGAL_complex,ICAM1_M1_macrophage__Cytoplasmic_membrane_down,ICAM1_TH1___cytoplasmic_membrane_down;ICAM1
icos,icoslg_icos_complex;ICOS
ICOSLG_Fibroblast__Cytoplasmic_membrane_down,icoslg_icos_complex,ICOSLG_M1_macrophage__Cytoplasmic_membrane_down,ICOSLG_M2_macrophage__cytoplasmic_membrane_down;ICOSLG
IFNa_M1_macrophage___Extracellular_Space,IFNa_rna,IFNa1,IFNa1_B1,IFNAR1_IFNAR2_IFNa_complex,IFNa1,IFNa1_B1,IFNA1_B1_IFNAR1_R2_complex;IFNA
IFNAR1_IFNAR2_complex;IFNAR1
IFNAR1_IFNAR2_complex;IFNAR2
IFNAR1_IFNAR2_IFNb_complex,IFNb_M1_macrophage___Extracellular_Space,IFNb1,IFNb1,IFNB1_rna;IFNB
IFNE,IFNE_IFNAR1_IFNAR2_complex;IFNE
IFNg_Fibroblast___Extracellular_Space,IFNG_IFNGR1_IFNGR2_complex,IFNG_IFNGR1_R2_complex,IFNg_M1_macrophage___Extracellular_Space,IFNg_TH1___extracellular_space,IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up,IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up,IFNGR1_IFNGR2_IFNg_complex;IFNG
IFNGR1_IFNGR2_IFNg_complex;IFNg
IFNG_IFNGR1_IFNGR2_complex,IFNG_IFNGR1_R2_complex,IFNGR1_R2_complex;IFNGR1
IFNG_IFNGR1_IFNGR2_complex,IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up,IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up,IFNGR1_IFNGR2_IFNg_complex;IFNGR2
IGF1,IGF1_IGF1R_complex;IGF1
IGF1_IGF1R_complex;IGF1R
CD32b_igG_complex,igG;IGG
IKBA_NFKB1_RELA_complex;IKBA
IKBKB_phosphorylated;IKBKB
TBK1_IKBKE_complex;IKBKE
IKK1_IKK2_complex_Fibroblast___Cytoplasm,IKK1_IKK2_complex_M1_macrophage___Cytoplasm,IKK1_IKK2_complex_M2_macrophage__cytoplasm,IKK1_phosphorylated_Fibroblast___Cytoplasm,IKK1_phosphorylated_M1_macrophage___Cytoplasm,IKK1_phosphorylated_M2_macrophage__cytoplasm;IKK1
IKK1_IKK2_complex_Fibroblast___Cytoplasm,IKK1_IKK2_complex_M1_macrophage___Cytoplasm,IKK1_IKK2_complex_M2_macrophage__cytoplasm,IKK2_phosphorylated_Fibroblast___Cytoplasm,IKK2_phosphorylated_M1_macrophage___Cytoplasm,IKK2_phosphorylated_M2_macrophage__cytoplasm;IKK2
IKKE_TBK1_complex,IKKE_TBK1_TRAF3_complex;IKKE
IL10_Fibroblast___Extracellular_Space,IL10_M2_macrophage__extracellular_space,IL10_TH1___extracellular_space;IL10
IL10R1_IL10R2_complex,IL10R1_IL10R2_complex,IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up,IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up,IL10RA_IL10RB_IL10_complex,IL10_IL10RA_IL10RB_complex,IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up,IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up,IL10RA_IL10RB_IL10_complex;IL10R
IL11,IL11_IL11Ra_IL6ST_complex,IL11Ra_IL6ST_IL11_complex;IL11
IL11_IL11Ra_IL6ST_complex,IL11Ra_IL6ST_IL11_complex;IL11R
IL12_M1_macrophage___Extracellular_Space,IL12_TH1___extracellular_space,IL12A,IL12B,IL12RB_IL12_complex,IL12A,IL12B;IL12
IL12RB_complex,IL12RB_IL12_complex,IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up,IL12Rb1_IL12Rb2_complex,IL12Rb1_IL12Rb2_IL12_complex,IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up,IL12Rb1_IL12Rb2_complex,IL12Rb1_IL12Rb2_IL12_complex;IL12RB
IL15_M1_macrophage___Secreted_components,IL15_M2_macrophage__secreted_components;IL15
IL17A_Fibroblast___Extracellular_Space,IL17A_Fibroblast___secreted_components,IL17A_IL17RA_complex;IL17A
IL17F,IL17Ra_IL17Rc_IL17F_complex;IL17F
IL17A_IL17RA_complex;IL17RA
IL17Ra_IL17Rc_IL17F_complex;IL17RC
IL18_Fibroblast___Extracellular_Space,IL18_IL18R_complex,IL18_IL18R1_complex,IL18_IL18R1_IL18RAP_complex,IL18_M1_macrophage___Extracellular_Space,IL18_TH1___extracellular_space;IL18
IL18_IL18R_complex,IL18_IL18R1_complex,IL18_IL18R1_IL18RAP_complex,IL18R1_IL18RAP_complex,IL18_IL18R1_complex,IL18_IL18R1_IL18RAP_complex,IL18R1_IL18RAP_complex;IL18R
IL18_IL18R1_IL18RAP_complex,IL18R1_IL18RAP_complex;IL18RAP
IL1A,IL1A_IL1R1_complex;IL1A
IL1B_Fibroblast___Extracellular_Space,IL1B_IL1R1_complex,IL1B_M1_macrophage___Extracellular_Space;IL1B
IL1_IL1R_complex,IL1A_IL1R1_complex,IL1B_IL1R1_complex,IL1R1,IL1A_IL1R1_complex,IL1B_IL1R1_complex,IL1R1;IL1R1
IL1RN_rna;IL1RN
IL2;IL2
IL23_M1_macrophage___Extracellular_Space,IL23_M2_macrophage__extracellular_space,IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up;IL23
IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M1_macrophage__Cytoplasmic_membrane_up,IL23R_IL12RB1_IL23_complex_M2_macrophage__cytoplasmic_membrane_up;IL23R
IL26;IL26
IL27;IL27
IL27_IL27RA_complex;IL27RA
IL7R_IL2RG_complex,IL9R_IL2RG_IL9_complex;IL2RG
IL32_rna;IL32
IL33_rna;IL33
CSFR1R_IL34_complex,IL34_M2_macrophage__extracellular_space;IL34
IL4,IL4_IL4Ra_complex,IL4_rna;IL4
IL4_IL4Ra_complex,IL4R,IL4_IL4Ra_complex;IL4R
IL6_Fibroblast___Extracellular_Space,IL6_IL6R_complex,IL6_IL6R_IL6ST_complex,IL6_IL6ST_complex,IL6_M1_macrophage___Extracellular_Space;IL6
IL6_IL6R_complex,IL6_IL6R_IL6ST_complex;IL6R
IL11_IL11Ra_IL6ST_complex,IL11Ra_IL6ST_IL11_complex,IL6_IL6R_IL6ST_complex,IL6_IL6ST_complex,LIFR_IL6ST_CTF1_complex;IL6ST
IL7_IL7R_IL2RG_complex,IL7_TH1___extracellular_space;IL7
IL7_IL7R_IL2RG_complex,IL7R_IL2RG_complex;IL7R
CXCR1_IL8_complex_M1_macrophage__Cytoplasmic_membrane_up,CXCR1_IL8_complex_M2_macrophage__cytoplasmic_membrane_up,IL8_M1_macrophage___Extracellular_Space,IL8_M2_macrophage__extracellular_space;IL8
IL9R_IL2RG_IL9_complex;IL9
IL9R_IL2RG_IL9_complex;IL9R
ACVR2A_ACVR2B_INHBA_complex,INHBA;INHBA
ACVR2A_ACVR2B_INHBB_complex,INHBB_M1_macrophage___Extracellular_Space;INHBB
INPP5A;INPP5A
IRAK1_Fibroblast___Cytoplasm,IRAK1_Fibroblast___Cytoplasm_active,IRAK1_IRAK4_complex,IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm,IRAK1_IRAK4_complex_TH1___cytoplasm,IRAK1_M1_macrophage___Cytoplasm,TRAF6_IRAK1_IRAK4_complex;IRAK1
IRAK3;IRAK3
IRAK1_IRAK4_complex,IRAK1_IRAK4_complex_M1_macrophage___Cytoplasm,IRAK1_IRAK4_complex_TH1___cytoplasm,IRAK4_Fibroblast___Cytoplasm,IRAK4_Fibroblast___Cytoplasm_active,IRAK4_phosphorylated,TRAF6_IRAK1_IRAK4_complex;IRAK4
IRF1_Fibroblast___Cytoplasm,IRF1_Fibroblast___nucleus;IRF1
IRF3_phosphorylated_Fibroblast___nucleus,IRF3_phosphorylated_M1_macrophage___nucleus;IRF3
IRF5_Fibroblast___Cytoplasm,IRF5_Fibroblast___nucleus,IRF5_ubiquitinated;IRF5
IRF7_M1_macrophage___nucleus,IRF7_M2_macrophage_nucleus,IRF7_TH1___cytoplasm,IRF7_TH1___cytoplasm_active;IRF7
IRF9_Fibroblast___Cytoplasm,IRF9_M1_macrophage___Cytoplasm,STAT1_STAT2_IRF9_complex;IRF9
ISGF3_complex;ISGF3
ITCH_phosphorylated_M1_macrophage___Cytoplasm,ITCH_phosphorylated_M2_macrophage__cytoplasm;ITCH
