stable_nodes_name;occurence;inputs
CASP8_Fibroblast___Cytoplasm;0;ICOSLG_M1_macrophage__Cytoplasmic_membrane_down
CASP8_M1_macrophage___Cytoplasm;1;ICOSLG_M2_macrophage__cytoplasmic_membrane_down
CASP8_M2_macrophage__cytoplasm;1;IFNAR1_IFNAR2_complex
CASP9_Fibroblast___Cytoplasm;0,5;IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up
CASP9_M1_macrophage___Cytoplasm;0;IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up
CASP9_M2_macrophage__cytoplasm;0;IFNGR1_R2_complex
CAV1_rna;1;IKBA_NFKB1_RELA_complex
CCL18_Fibroblast___Extracellular_Space;1;IL10R1_IL10R2_complex
CCL18_M2_macrophage__secreted_components;1;IL10RA_IL10RB_complex_Fibroblast__Cytoplasmic_membrane_up
CCL2_CCR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1;IL10RA_IL10RB_complex_TH1___cytoplasmic_membrane_up
CCL2_CCR2_complex_TH1___cytoplasmic_membrane_up;1;IL11_IL11Ra_IL6ST_complex
CCL2_Fibroblast___Extracellular_Space;1;IL11Ra_IL6ST_IL11_complex
CCL2_Fibroblast___secreted_components;1;IL12RB_complex
CCL2_M1_macrophage___Extracellular_Space;1;IL12Rb1_IL12Rb2_complex
CCL2_M1_macrophage___Secreted_components;1;IL17Ra_IL17Rc_IL17F_complex
CCL2_TH1___extracellular_space;1;IL18_Fibroblast___secreted_components
CCL20_M1_macrophage___Secreted_components;1;IL18R1_IL18RAP_complex
CCL20_M2_macrophage__secreted_components;1;IL1A
CCL21;1;IL1R1
CCL21_CCR7_complex_M1_macrophage__Cytoplasmic_membrane_up;1;IL23R_IL12RB1_complex_M1_macrophage__Cytoplasmic_membrane_up
CCL21_CCR7_complex_M2_macrophage__cytoplasmic_membrane_up;1;IL23R_IL12RB1_complex_M2_macrophage__cytoplasmic_membrane_up
CCl21_M1_macrophage___Extracellular_Space;1;IL26
CCl21_M2_macrophage__extracellular_space;1;IL27
CCL3_M1_macrophage___Secreted_components;1;IL32_rna
CCL3_TH1___secreted_components;1;IL33_rna
CCL4_5_CCR5_complex;1;IL34_Fibroblast___secreted_components
CCL4_M1_macrophage___Secreted_components;1;IL7_Fibroblast___secreted_components
CCL4_TH1___extracellular_space;1;IL7R_IL2RG_complex
CCL4_TH1___secreted_components;1;IL9R_IL2RG_IL9_complex
CCL5_ACKR2_complex;1;immune_complex_complex
CCL5_CCR5_complex;1;INHBA
CCL5_Fibroblast___Extracellular_Space;1;INHBB_M1_macrophage___Extracellular_Space
CCL5_Fibroblast___secreted_components;1;INPP5A
CCL5_M1_macrophage___Secreted_components;1;IRAK1_M1_macrophage___Cytoplasm
CCL5_TH1___extracellular_space;1;IRAK3
CCL5_TH1___secreted_components;1;IRF9_Fibroblast___Cytoplasm
CCNA2;1;IRF9_M1_macrophage___Cytoplasm
CCNB1_CDC2_complex;1;ITGA4_ITGB1_complex
CCND1_rna;1;ITGA4_ITGB7_complex
CCND2;0,5;ITGA5_ITGB1_complex
CCR2_CCL2_complex;1;ITGAL_ITGB2_complex
CCR5;1;ITGAM_ITGB2_complex
CD28;1;ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up
CD28_CD86_complex;1;ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up
CD32a;1;JUNB
CD32b_igG_complex;0;LBP_CD14_complex
CD32b_rna;1;LGALS9_Fibroblast___secreted_components
CD40_Fibroblast__Cytoplasmic_membrane_up;1;LGALS9_M1_macrophage___Secreted_components
CD40_M1_macrophage__Cytoplasmic_membrane_down;1;LIFR_IL6ST_CTF1_complex
CD40LG_CD40_complex;1;LTA_TH1___secreted_components
CD40LG_ITGAM_ITGB2_complex;1;LY96
CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up;1;MAP4K4_phosphorylated
CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up;1;MIR203A_rna
CD40LG_M1_macrophage__Cytoplasmic_membrane_down;1;MIR221_rna
CD40LG_M2_macrophage__cytoplasmic_membrane_down;1;MIR346_rna
CD40LG_TH1___cytoplasmic_membrane_down;1;MK2_phosphorylated_M1_macrophage___nucleus
CD80;1;MK2_phosphorylated_M2_macrophage_nucleus
CD84_CD84_complex;1;NECTIN3_PTPRC_NECTIN1_complex
CD84_Fibroblast__Cytoplasmic_membrane_down;1;NFKB1_MAP3K8_complex
CD84_M1_macrophage__Cytoplasmic_membrane_down;1;NFKB1_RELA_NFKBIA_complex
CD84_M2_macrophage__cytoplasmic_membrane_down;1;NFKB1_TPL2_complex_M1_macrophage___Cytoplasm
CD84_TH1___cytoplasmic_membrane_up;1;NFKB1_TPL2_complex_M2_macrophage__cytoplasm
CD86_M1_macrophage__Cytoplasmic_membrane_down;1;NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm
CD86_M2_macrophage__cytoplasmic_membrane_down;1;NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm
CDC25B_C;0;notch3
CDKN1A;0;PDCD1
Cell_chemotaxis_migration_fibroblast_phenotype;1;PDE4B
Cell_chemotaxis_migration_TH1_phenotype;1;PDIA3_HLA_A_B2M_complex
CFLAR_Fibroblast___Cytoplasm;1;PI4_5_P__2_simple_molecule
CFLAR_Fibroblast___Cytoplasm_active;1;PIP2_simple_molecule
cFLIP_M1_macrophage___Cytoplasm;1;PLXNB1
cFLIP_M1_macrophage___Cytoplasm_active;1;PP4
cFLIP_M2_macrophage__cytoplasm;1;Prkcd_M1_macrophage___Cytoplasm
cFLIP_M2_macrophage__cytoplasm_active;1;PRKCQ_M1_macrophage___Cytoplasm
cGAS;1;PRKG1_Fibroblast___Cytoplasm
CHUK_phosphorylated;1;PRKG1_M1_macrophage___Cytoplasm
cIAP1;1;RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm
cMyc;1;RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm
cMyc_phosphorylated_M2_macrophage__cytoplasm;1;RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm
cMyc_phosphorylated_M2_macrophage_nucleus;1;RIPK1
col4a3_Fibroblast___Extracellular_Space;1;sema3A
COL4A3_ITGA4_ITGB7_complex;1;SEMA4A_TH1___secreted_components
col4a3_M2_macrophage__secreted_components;1;SH2D1A_M2_macrophage__cytoplasm
col4a3_TH1___extracellular_space;1;SMAD7_M1_macrophage___Cytoplasm
col4a4_Fibroblast___secreted_components;1;SMAD7_M2_macrophage__cytoplasm
col4a4_M1_macrophage___Extracellular_Space;1;STAT2_Fibroblast___Cytoplasm
col4a4_M2_macrophage__extracellular_space;1;STAT2_M1_macrophage___Cytoplasm
COL4A5;1;TAB1
col4a5_Fibroblast___Extracellular_Space;1;TAB1_TAB2_complex
col4a5_M1_macrophage___Extracellular_Space;1;TAK1
col4a5_M2_macrophage__extracellular_space;1;TCF_LEF_Fibroblast___nucleus
COMP;1;TCF_LEF_M2_macrophage_nucleus
COX2_rna_M1_macrophage___nucleus;1;TCR_CD3_complex
COX2_rna_M2_macrophage_nucleus;1;TGFb1
CPNE3_rna;1;TGFB1_M2_macrophage__secreted_components
CREB1_phosphorylated_Fibroblast___nucleus;1;TGFB1_TH1___secreted_components
CREB1_phosphorylated_M2_macrophage_nucleus;0;TGFBR1_TGFBR2_complex
CREB1_phosphorylated_TH1___nucleus;1;TIRAP
CRKL_phosphorylated_Fibroblast___Cytoplasm;1;TLR1_TLR2_complex
CRKL_phosphorylated_M1_macrophage___Cytoplasm;1;TLR2_TLR6_complex
CSF1_Fibroblast___secreted_components;1;TLR5_Fibroblast__Cytoplasmic_membrane_up
CSF1_M2_macrophage__extracellular_space;1;TLR7_TLR8_ssRNA_complex
CSF1_M2_macrophage__secreted_components;1;TNFSF4
CSF1_rna;1;TP53_phosphorylated
CSF1R;1;TSG6
CSF1R_CSF1_complex;1;TXK
CSF2_Fibroblast___Extracellular_Space;1;WNT5A
CSF2_Fibroblast___secreted_components;1;WNT5B_gene
CSF2_M1_macrophage___Extracellular_Space;1;YY1
CSF2_M1_macrophage___Secreted_components;1;HSPA5
CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up;1;IL1RN_rna
CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up;1;MAML1
CSF2RA_CSF2RB_CSF2_complex;1;rbpj
CSFR1R_IL34_complex;1;SKIP
CSK;1;snw1
CSL;1;VegfR1
CTF1;1;CD84_TH1___cytoplasmic_membrane_up
CTNNB_CK1A_AXIN_GSK3B_APC_complex;0;Hif1b
CTNNB1_Fibroblast___nucleus;0;NOTCH1
CTNNB1_M2_macrophage_nucleus;1;PLXNA1
CTNNB1_TCF_LEF_complex;1;PLXNB1_MET_complex
CTSK_rna;1;PLXNB2_MET_complex
CXCL1_CXCR1_complex;1;BTK_rna
CXCL1_Fibroblast___secreted_components;1;vegfa
CXCL1_M1_macrophage___Extracellular_Space;1;RDX
CXCL1_M1_macrophage___Secreted_components;1;APAF1
CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up;1;ASC_M2_macrophage__cytoplasm
CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up;1;CASP9_Fibroblast___Cytoplasm
CXCL10_Fibroblast___Extracellular_Space;1;DOCK2
CXCL10_Fibroblast___secreted_components;1;ECSIT
CXCL10_M1_macrophage___Secreted_components;1;gamma_secretase_complex
CXCL10_TH1___extracellular_space;1;GSK3b_APC_AXIN1_CTNNB1_CK1A_complex
CXCL10_TH1___secreted_components;1;IKK1_phosphorylated_Fibroblast___Cytoplasm
CXCL11;1;IKK1_phosphorylated_M1_macrophage___Cytoplasm
CXCL12;1;IKK1_phosphorylated_M2_macrophage__cytoplasm
CXCL13_ACKR4_complex_M1_macrophage__Cytoplasmic_membrane_up;1;IKKE_TBK1_complex
CXCL13_ACKR4_complex_M2_macrophage__cytoplasmic_membrane_up;1;MAP3K2_3_4
CXCL13_CXCR3_complex;1;MAPK3_complex
CXCL13_Fibroblast___Extracellular_Space;1;MEKK1_M1_macrophage___Cytoplasm
CXCL13_M1_macrophage___Extracellular_Space;1;MIR338_5P_rna
CXCL13_M2_macrophage__extracellular_space;1;POU2F1
CXCL13_TH1___secreted_components;1;PTEN
CXCL16_CXCR6_complex;1;PTPN6_Fibroblast___Cytoplasm
CXCL16_M1_macrophage___Secreted_components;1;SH2D1A_Fibroblast___Cytoplasm
CXCL16_M2_macrophage__secreted_components;1;TRAF3_TH1___cytoplasm
CXCL16_TH1___extracellular_space;1;UEV1A_UBC13_complex
CXCL2;1;
CXCL3;1;
CXCL8_Fibroblast___Extracellular_Space;1;
CXCL8_Fibroblast___secreted_components;1;
CXCL9_Fibroblast___secreted_components;1;
CXCL9_M1_macrophage___Secreted_components;1;
CXCR1;1;
CXCR1_IL8_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
CXCR1_IL8_complex_M2_macrophage__cytoplasmic_membrane_up;1;
CXCR2_CXCL8_complex;1;
CXCR3;1;
CYCS;0;
CYLD;1;
CypA;1;
DAG_simple_molecule;1;
DAXX_Fibroblast___Cytoplasm;1;
DAXX_M1_macrophage___Cytoplasm;1;
DAXX_M2_macrophage__cytoplasm;1;
DAXX_TH1___cytoplasm;1;
DKK1;1;
DNA_simple_molecule;1;
DOCK2;0,5;
DOCK2_CRKL_complex;0,5;
dsRNA_simple_molecule;1;
DUSP1_M1_macrophage___Cytoplasm;1;
DUSP1_M2_macrophage__cytoplasm;1;
DUSP7;1;
Dvl1;1;
DVL1_phosphorylated;1;
DYNLRB1;1;
ECSIT;0,5;
EDA_EDA2R_complex;1;
EDA_Fibroblast___Extracellular_Space;1;
EDA_M1_macrophage___Secreted_components;1;
EDA_M2_macrophage__secreted_components;1;
EDN1;1;
EFNB1;1;
EFNB1_EPHB1_complex;1;
efnb1_rna;1;
EGF;1;
EGF_EGFR_complex;1;
EGFR;1;
ELK1_phosphorylated;0,5;
EOMES;1;
EP300;1;
EPHB2;1;
ERK1_phosphorylated_M1_macrophage___Cytoplasm;1;
ERK1_phosphorylated_M1_macrophage___nucleus;1;
ERK1_phosphorylated_M2_macrophage__cytoplasm;1;
ERK1_phosphorylated_M2_macrophage_nucleus;1;
FADD_Fibroblast___Cytoplasm;1;
FADD_M1_macrophage___Cytoplasm;1;
FADD_M2_macrophage__cytoplasm;1;
FAS_FASL_complex;1;
FAS_M1_macrophage__Cytoplasmic_membrane_up;1;
FAS_M2_macrophage__cytoplasmic_membrane_up;1;
FASL_FAS_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
FASL_FAS_complex_M2_macrophage__cytoplasmic_membrane_up;1;
FASL_M1_macrophage___Extracellular_Space;1;
FASL_M1_macrophage___Secreted_components;1;
FASL_M2_macrophage__extracellular_space;1;
FASL_M2_macrophage__secreted_components;1;
FASLG_FAS_complex;1;
FASLG_Fibroblast___Extracellular_Space;1;
FASLG_TH1___extracellular_space;1;
FASLG_TH1___secreted_components;1;
FGF1;1;
FGF1_FGFR4_complex;1;
FGR;1;
FN1_Fibroblast___Extracellular_Space;0;
FN1_Fibroblast___secreted_components;0;
FN1_ITGAV_complex;0;
FN1_M2_macrophage__secreted_components;1;
FOS;1;
FOXO_M1_macrophage___Cytoplasm;1;
FOXO_M1_macrophage___nucleus;1;
FOXO1_Fibroblast___nucleus;0;
FOXO1_M2_macrophage_nucleus;1;
FOXO3;0;
FZD1_LRP5_complex;1;
FZD5_LRP5_wnt5a_complex;1;
GAB1;1;
GAB2_phosphorylated_Fibroblast___Cytoplasm;1;
GAB2_phosphorylated_M2_macrophage__cytoplasm;1;
gal_Fibroblast___secreted_components;1;
GAL_GALR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1;
GAL_GALR2_complex_M2_macrophage__cytoplasmic_membrane_up;1;
gal_M1_macrophage___Extracellular_Space;1;
gal_M2_macrophage__extracellular_space;1;
GAL_rna;1;
gamma_secretase_complex;1;
gamma_secretase_complex_complex;1;
GAS6_Fibroblast___secreted_components;1;
GAS6_M2_macrophage__extracellular_space;1;
GAS6_MERTK_complex;1;
gas6_mertk_complex;1;
GAS6_TH1___extracellular_space;1;
gata3_rna;0;
GNA12_GNA13_complex_M1_macrophage___Cytoplasm;1;
GNA12_GNA13_complex_M2_macrophage__cytoplasm;1;
