Barcodes	Graph-based clusters	Total count	Total expressed feature	Cluster	Sample ID	Cell type	Diagnosis	Plate	Sample pathology	BioTuring - Anatomy	BioTuring - Cell type	Graph-based clusters (Fibroblast)	Cell class	Graph-based clusters (Monocyte)	Graph-based clusters (T cell)	Graph-based clusters (B cell)
S006_L1Q1_A03	Cluster 3	13103.7004	1502	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A05	Cluster 3	16330.1988	1980	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A07	Cluster 3	13982.1698	1583	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A09	Cluster 3	15679.3506	1847	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A11	Cluster 3	14345.2584	1631	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A15	Cluster 5	11015.9843	1204	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L1Q1_A17	Cluster 3	14203.1727	1672	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q1_A19	Cluster 3	12426.729	1406	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_A23	Cluster 3	9555.0446	1016	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q1_C07	Cluster 3	18131.5194	2189	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C11	Cluster 3	17749.9144	2129	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C13	Cluster 3	16154.5069	1918	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C15	Cluster 3	13046.9821	1468	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C17	Cluster 10	15245.733	1797	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C19	Cluster 3	14024.626	1617	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C21	Cluster 3	13164.9057	1511	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_C23	Cluster 10	12778.3937	1437	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 4	Unassigned
S006_L1Q1_E01	Cluster 10	15973.6739	1873	SC-T3	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	PDCD1+ TPH and TFH cell	Unassigned	Cluster 4	Unassigned
S006_L1Q1_E03	Cluster 3	16127.2374	1935	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E05	Cluster 3	27276.3085	3704	SC-T6	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E07	Cluster 10	16982.7486	2022	SC-T3	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	PDCD1+ TPH and TFH cell	Unassigned	Cluster 4	Unassigned
S006_L1Q1_E09	Cluster 3	14733.4205	1692	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E11	Cluster 3	11130.558	1242	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q1_E17	Cluster 3	13327.8809	1521	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E19	Cluster 3	15191.1716	1783	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E21	Cluster 3	16081.5349	1936	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_E23	Cluster 3	17076.2877	2051	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q1_G01	Cluster 2	10399.3199	1149	SC-M3	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	C1QA+ monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q1_G03	Cluster 2	23425.6293	3216	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_G05	Cluster 2	22287.8163	2991	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L1Q1_G07	Cluster 2	19394.5402	2519	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_G11	Cluster 2	24691.4622	3292	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_G17	Cluster 2	32605.4468	4878	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_G19	Cluster 2	29003.5782	4135	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_I01	Cluster 2	15403.5927	1857	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q1_I03	Cluster 2	21293.5281	2752	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q1_I05	Cluster 2	20740.2666	2637	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q1_I07	Cluster 2	13960.5312	1618	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q1_I09	Cluster 2	24412.981	3263	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q1_I11	Cluster 2	16293.7201	1982	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_I15	Cluster 2	17210.8322	2112	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q1_I17	Cluster 2	20716.1164	2724	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_I19	Cluster 2	25778.1611	3553	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_I21	Cluster 2	19025.216	2398	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S006_L1Q1_I23	Cluster 2	18005.7182	2215	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K01	Cluster 2	18581.6879	2373	SC-M1	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K03	Cluster 2	17009.4142	2074	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q1_K07	Cluster 2	22637.8638	2967	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K09	Cluster 2	16133.1319	1985	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L1Q1_K13	Cluster 2	22340.1638	2967	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K15	Cluster 2	10997.9328	1219	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 1	Unassigned	Unassigned
S006_L1Q1_K17	Cluster 2	27158.8685	3836	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K19	Cluster 2	28015.5535	3989	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K21	Cluster 2	24445.2827	3269	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 4	Unassigned	Unassigned
S006_L1Q1_K23	Cluster 2	25222.207	3476	SC-M2	301-0159	Monocyte	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	NUPR1+ monocyte	Cluster 3	Unassigned	Unassigned
S006_L1Q1_M01	Cluster 8	32002.223	4733	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M03	Cluster 8	31098.6122	4524	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M05	Cluster 6	30290.347	4266	SC-F3	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M07	Cluster 8	34401.4111	5115	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M09	Cluster 4	29094.7305	4237	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M11	Cluster 8	32040.4994	4735	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M13	Cluster 8	32096.7014	4786	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M15	Cluster 4	24991.4362	3378	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M17	Cluster 8	34860.3629	5305	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M19	Cluster 8	30054.1242	4271	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_M23	Cluster 8	21820.8079	2893	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O01	Cluster 8	30256.4458	4365	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O03	Cluster 6	25742.9106	3546	SC-F2	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	HLA-DRAhi sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O05	Cluster 8	28120.3131	3975	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O07	Cluster 4	27437.1003	3862	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O09	Cluster 8	31215.1934	4566	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O11	Cluster 8	26129.4886	3576	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O13	Cluster 8	29896.7274	4396	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O15	Cluster 8	29826.4123	4314	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O17	Cluster 8	35547.3844	5496	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O19	Cluster 4	27483.4044	3900	SC-F1	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	CD34+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O21	Cluster 8	26241.1949	3698	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q1_O23	Cluster 8	27438.9755	3891	SC-F4	301-0159	Fibroblast	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S006_L1Q2_A02	Cluster 3	12537.7756	1403	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q2_A04	Cluster 3	18770.2605	2358	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_A06	Cluster 3	17529.4504	2106	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_A08	Cluster 3	20575.3825	2561	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_A10	Cluster 3	14770.9762	1737	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_A18	Cluster 15	18296.3856	2255	SC-T6	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S006_L1Q2_A20	Cluster 3	17494.0503	2085	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_A22	Cluster 3	13512.8319	1560	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S006_L1Q2_A24	Cluster 3	15655.233	1823	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C04	Cluster 3	17574.132	2143	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C06	Cluster 3	21154.0168	2688	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C08	Cluster 3	19519.1764	2438	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C10	Cluster 3	18557.0032	2293	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C12	Cluster 3	21080.0529	2646	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C14	Cluster 3	17458.0658	2158	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C16	Cluster 15	22650.257	2878	SC-T6	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S006_L1Q2_C18	Cluster 3	21296.2481	2775	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C20	Cluster 3	19858.158	2444	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C22	Cluster 3	21804.6111	2831	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_C24	Cluster 3	15127.0499	1772	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E04	Cluster 5	21543.8945	2741	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S006_L1Q2_E06	Cluster 3	20630.3235	2640	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E08	Cluster 3	20673.3506	2593	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E12	Cluster 3	11706.0968	1332	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E14	Cluster 5	14404.1602	1654	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L1Q2_E16	Cluster 5	18296.8936	2226	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S006_L1Q2_E20	Cluster 3	20584.1702	2588	SC-T1	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E22	Cluster 3	22224.8558	2850	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S006_L1Q2_E24	Cluster 3	20236.3399	2533	SC-T4	301-0159	T cell	Osteoarthritis	S006	Osteoarthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
